sessionYear,patronName,amendmentCount,totalNetAmount,largestAmendment,smallestAmendment
2025,Marshall,3,15510468.0,10000000.0,1400000.0
2025,Morefield,8,15206082.0,7890589.0,125000.0
2025,Kilgore,8,14391906.0,5300000.0,50000.0
2025,Campbell,6,14165202.0,4500000.0,750000.0
2025,Thomas,3,12842531.0,12462531.0,50000.0
2025,Kent,8,12505000.0,7900000.0,100000.0
2025,Pekarsky,4,12134516.0,10000000.0,50000.0
2025,McClure,10,11958048.0,7500000.0,4960.0
2025,Maldonado,7,11950431.0,10785723.0,50000.0
2025,Mundon King,12,11900000.0,3000000.0,150000.0
2025,Hope,10,10982744.0,8000000.0,25000.0
2025,Earley,4,10674404.0,10000000.0,50000.0
2025,VanValkenburg,16,10457276.0,4000000.0,50000.0
2025,Taylor,3,10194000.0,10100000.0,44000.0
2025,Durant,9,10065000.0,5000000.0,50000.0
2025,Price,6,8902000.0,5000000.0,50000.0
2025,Arnold,3,8356234.0,4356234.0,2000000.0
2025,Cordoza,8,7850000.0,6600000.0,50000.0
2025,Shin,8,7834948.0,4474112.0,50000.0
2025,Rouse,6,7400000.0,3150000.0,250000.0
2025,Zehr,1,6992800.0,6992800.0,6992800.0
2025,Clark,9,6938000.0,5000000.0,50000.0
2025,Oates,6,6498000.0,2000000.0,30000.0
2025,LeVere Bolling,7,6422500.0,2205000.0,50000.0
2025,Runion,4,6343970.0,5000000.0,108000.0
2025,Green,3,6103457.0,5741255.0,50000.0
2025,Wilt,4,5950000.0,5000000.0,50000.0
2025,Craig,2,5931255.0,5741255.0,190000.0
2025,Tata,3,5638470.0,2788470.0,350000.0
2025,Martinez,7,3950000.0,1500000.0,50000.0
2025,Henson,10,3178591.0,900000.0,50000.0
2025,Wachsmann,4,3065000.0,2100000.0,175000.0
2025,McNamara,1,3030900.0,3030900.0,3030900.0
2025,Milde,1,3000000.0,3000000.0,3000000.0
2025,Batten,3,2923000.0,1873000.0,50000.0
2025,Feggans,3,2770221.0,1250000.0,520221.0
2025,Anthony,4,2450000.0,1500000.0,200000.0
2025,Laufer,3,2061308.0,979308.0,482000.0
2025,Lucas,4,2012000.0,1500000.0,12000.0
2025,Phillips,5,1824002.0,1201179.0,50000.0
2025,Peake,2,1750000.0,1500000.0,250000.0
2025,Davis,5,1550000.0,700000.0,50000.0
2025,Seibold,3,1550000.0,1000000.0,50000.0
2025,Helmer,9,1507320.0,500000.0,10000.0
2025,Ennis,2,1200000.0,1000000.0,200000.0
2025,Cohen,3,1175000.0,1000000.0,50000.0
2025,Cole J.,5,1165000.0,740000.0,25000.0
2025,Sturtevant,20,1150000.0,200000.0,50000.0
2025,Fowler,2,1033000.0,1000000.0,33000.0
2025,Simon,4,816000.0,500000.0,50000.0
2025,Lovejoy,3,715000.0,365000.0,150000.0
2025,Cherry,4,501160.0,188000.0,50000.0
2025,O'Quinn,2,489150.0,289150.0,200000.0
2025,DeSteph,3,466205.0,370619.0,45586.0
2025,Wyatt,2,300000.0,150000.0,150000.0
2025,Ware,1,285000.0,285000.0,285000.0
2025,Higgins,2,175000.0,150000.0,25000.0
2025,Walker,2,75000.0,50000.0,25000.0
2025,Convirs-Fowler,2,70000.0,50000.0,20000.0
2025,Glass,1,50000.0,50000.0,50000.0
